workerid	adjective	quiz_response	relevant_adjective	text	enteredText	response	correct_response	adj1_response	slide_number	predicate2	predicate1	correct	adj2_response
0	physs	first	NA	NA	NA	NA	first	NA	6	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	7	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	8	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	9	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	10	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	11	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	12	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	13	NA	NA	NA	NA
0	physs	second	NA	NA	NA	NA	second	NA	14	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	15	NA	NA	NA	NA
0	physs	second	NA	NA	NA	NA	second	NA	16	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	17	NA	NA	NA	NA
0	physs	second	NA	NA	NA	NA	second	NA	18	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	19	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	20	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	21	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	22	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	23	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	24	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	25	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	26	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	27	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	28	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	29	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	30	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	31	NA	NA	NA	NA
0	scrib	second	NA	NA	NA	NA	second	NA	32	NA	NA	NA	NA
0	physs	second	NA	NA	NA	NA	second	NA	33	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	34	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	35	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	36	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	37	NA	NA	NA	NA
0	physs	second	NA	NA	NA	NA	second	NA	38	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	39	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	40	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	41	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	42	NA	NA	NA	NA
0	scrib	second	NA	NA	NA	NA	second	NA	43	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	44	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	45	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	46	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	47	NA	NA	NA	NA
0	physs	second	NA	NA	NA	NA	second	NA	48	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	49	NA	NA	NA	NA
0	physs	first	NA	NA	NA	NA	first	NA	50	NA	NA	NA	NA
0	scrib	second	NA	NA	NA	NA	second	NA	51	NA	NA	NA	NA
0	scrib	first	NA	NA	NA	NA	first	NA	52	NA	NA	NA	NA
0	scrib	second	NA	NA	NA	NA	second	NA	53	NA	NA	NA	NA
0	NA	NA	NA	NA	scrib green   	NA	NA	NA	55	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib    	NA	NA	NA	56	NA	NA	correct	NA
0	NA	NA	NA	NA	red    	NA	NA	NA	57	NA	NA	correct	NA
0	NA	NA	NA	NA	physs    	NA	NA	NA	58	NA	NA	correct	NA
0	NA	NA	NA	NA	blue    	NA	NA	NA	59	NA	NA	correct	NA
0	NA	NA	NA	NA	red scrib   	NA	NA	NA	60	NA	NA	correct	NA
0	NA	NA	NA	NA	blue scrib   	NA	NA	NA	61	NA	NA	correct	NA
0	NA	NA	NA	NA	blue scrib   	NA	NA	NA	62	NA	NA	correct	NA
0	NA	NA	NA	NA	blue scrib   	NA	NA	NA	63	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib physs   	NA	NA	NA	64	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib physs   	NA	NA	NA	65	NA	NA	correct	NA
0	NA	NA	NA	NA	green scrib   	NA	NA	NA	66	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib physs   	NA	NA	NA	67	NA	NA	correct	NA
0	NA	NA	NA	NA	green scrib   	NA	NA	NA	68	NA	NA	correct	NA
0	NA	NA	NA	NA	green scrib   	NA	NA	NA	69	NA	NA	correct	NA
0	NA	NA	NA	NA	blue scrib   	NA	NA	NA	70	NA	NA	correct	NA
0	NA	NA	NA	NA	red scrib   	NA	NA	NA	71	NA	NA	correct	NA
0	NA	NA	NA	NA	red physs   	NA	NA	NA	72	NA	NA	correct	NA
0	NA	NA	NA	NA	green physs   	NA	NA	NA	73	NA	NA	correct	NA
0	NA	NA	NA	NA	red scrib   	NA	NA	NA	74	NA	NA	correct	NA
0	NA	NA	NA	NA	green scrib   	NA	NA	NA	75	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib physs   	NA	NA	NA	76	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib    	NA	NA	NA	77	NA	NA	correct	NA
0	NA	NA	NA	NA	red scrib   	NA	NA	NA	78	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib physs   	NA	NA	NA	79	NA	NA	correct	NA
0	NA	NA	NA	NA	blue physs   	NA	NA	NA	80	NA	NA	correct	NA
0	NA	NA	NA	NA	red	NA	NA	NA	82	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib	NA	NA	NA	83	NA	NA	correct	NA
0	NA	NA	NA	NA	blue	NA	NA	NA	84	NA	NA	correct	NA
0	NA	NA	NA	NA	red	NA	NA	NA	85	NA	NA	correct	NA
0	NA	NA	NA	NA	green	NA	NA	NA	86	NA	NA	correct	NA
0	NA	NA	NA	NA	green physs	NA	NA	NA	87	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib less physs	NA	NA	NA	88	NA	NA	correct	NA
0	NA	NA	NA	NA	red scrib	NA	NA	NA	89	NA	NA	correct	NA
0	NA	NA	NA	NA	red physs	NA	NA	NA	90	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib physs	NA	NA	NA	91	NA	NA	correct	NA
0	NA	NA	NA	NA	green scrib	NA	NA	NA	92	NA	NA	correct	NA
0	NA	NA	NA	NA	green scrib	NA	NA	NA	93	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib physs	NA	NA	NA	94	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib	NA	NA	NA	95	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib physs	NA	NA	NA	96	NA	NA	correct	NA
0	NA	NA	NA	NA	red scrib	NA	NA	NA	97	NA	NA	correct	NA
0	NA	NA	NA	NA	blue scrib	NA	NA	NA	98	NA	NA	correct	NA
0	NA	NA	NA	NA	green scrib	NA	NA	NA	99	NA	NA	correct	NA
0	NA	NA	NA	NA	blue scrib	NA	NA	NA	100	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib	NA	NA	NA	101	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib	NA	NA	NA	102	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib physs	NA	NA	NA	103	NA	NA	correct	NA
0	NA	NA	NA	NA	scrib	NA	NA	NA	104	NA	NA	correct	NA
0	NA	NA	NA	NA	blue physs	NA	NA	NA	105	NA	NA	correct	NA
0	NA	NA	NA	NA	blue physs	NA	NA	NA	106	NA	NA	correct	NA
0	NA	NA	NA	NA	green scrib	NA	NA	NA	107	NA	NA	correct	NA
0	NA	NA	NA	NA	blue	NA	NA	NA	109	NA	NA	correct	NA
0	NA	NA	physs	Wow, so many fins &#8210; I like this...	NA	0.31	NA	NA	136	blue	physs	NA	NA
0	NA	NA	physs	Ugh, too many fins &#8210; I hate flying this...	NA	0.21	NA	NA	137	blue	physs	NA	NA
0	NA	NA	scrib	For long distances, I use saucers. The best one is this...	NA	0.18	NA	NA	138	green	scrib	NA	NA
0	NA	NA	physs	I really don&quotechart like ships with many spikes, like this...	NA	0.42	NA	NA	139	physs	scrib	NA	NA
0	NA	NA	scrib	Humans think all our ships look like saucers, like this...	NA	0.17	NA	NA	140	green	scrib	NA	NA
0	NA	NA	blue	I like ships that have the same color as I have, like this...	NA	0.81	NA	NA	141	scrib	blue	NA	NA
0	NA	NA	scrib	My first ship had the same shape as this...	NA	0.19	NA	NA	142	blue	scrib	NA	NA
0	NA	NA	NONE	On our planet, many aliens fly ships like this...	NA	0.41	NA	NA	143	physs	blue	NA	NA
0	NA	NA	blue	What a nice color. I like flying this...	NA	0.22	NA	NA	144	physs	blue	NA	NA
0	NA	NA	physs	The more spikes, the better. My favorite one is this...	NA	0.24	NA	NA	145	physs	scrib	NA	NA
0	NA	NA	NONE	My friend used to fly this...	NA	0.78	NA	NA	146	scrib	blue	NA	NA
0	NA	NA	NA	NA	NA	0.84	NA	NA	148	blue	physs	NA	NA
0	NA	NA	NA	NA	NA	0.14	NA	NA	149	blue	scrib	NA	NA
0	NA	NA	NA	NA	NA	0.02	NA	NA	150	small	blue	NA	NA
0	NA	NA	NA	NA	NA	0.87	NA	NA	151	red	physs	NA	NA
0	NA	NA	NA	NA	NA	0.23	NA	NA	152	physs	green	NA	NA
0	NA	NA	NA	NA	NA	0.01	NA	NA	153	big	red	NA	NA
0	NA	NA	NA	NA	NA	0.11	NA	NA	154	red	scrib	NA	NA
0	NA	NA	NA	NA	NA	0.75	NA	NA	155	scrib	big	NA	NA
0	NA	NA	NA	NA	NA	0.81	NA	NA	156	scrib	physs	NA	NA
0	NA	NA	NA	NA	NA	0.01	NA	NA	157	big	green	NA	NA
0	NA	NA	NA	NA	NA	0.85	NA	NA	158	scrib	green	NA	NA
0	NA	NA	NA	NA	NA	0.17	NA	NA	159	small	scrib	NA	NA
0	NA	NA	NA	NA	NA	0.3	NA	NA	160	physs	small	NA	NA
0	NA	NA	NA	NA	NA	0.75	NA	NA	161	big	physs	NA	NA
0	NA	NA	NA	NA	NA	NA	NA	saucer shaped	162	NA	NA	NA	ornate or complex? many fins
1	muic	second	NA	NA	NA	NA	second	NA	6	NA	NA	NA	NA
1	plach	first	NA	NA	NA	NA	first	NA	7	NA	NA	NA	NA
1	plach	first	NA	NA	NA	NA	first	NA	8	NA	NA	NA	NA
1	plach	first	NA	NA	NA	NA	first	NA	9	NA	NA	NA	NA
1	muic	first	NA	NA	NA	NA	first	NA	10	NA	NA	NA	NA
1	plach	first	NA	NA	NA	NA	first	NA	11	NA	NA	NA	NA
1	plach	first	NA	NA	NA	NA	first	NA	12	NA	NA	NA	NA
1	muic	second	NA	NA	NA	NA	second	NA	13	NA	NA	NA	NA
1	plach	second	NA	NA	NA	NA	second	NA	14	NA	NA	NA	NA
1	plach	first	NA	NA	NA	NA	first	NA	15	NA	NA	NA	NA
1	muic	second	NA	NA	NA	NA	second	NA	16	NA	NA	NA	NA
1	plach	first	NA	NA	NA	NA	first	NA	17	NA	NA	NA	NA
1	plach	first	NA	NA	NA	NA	first	NA	18	NA	NA	NA	NA
1	muic	first	NA	NA	NA	NA	first	NA	19	NA	NA	NA	NA
1	muic	second	NA	NA	NA	NA	second	NA	20	NA	NA	NA	NA
1	muic	first	NA	NA	NA	NA	first	NA	21	NA	NA	NA	NA
1	muic	first	NA	NA	NA	NA	first	NA	22	NA	NA	NA	NA
1	muic	first	NA	NA	NA	NA	first	NA	23	NA	NA	NA	NA
1	muic	second	NA	NA	NA	NA	second	NA	24	NA	NA	NA	NA
1	plach	second	NA	NA	NA	NA	second	NA	25	NA	NA	NA	NA
1	plach	second	NA	NA	NA	NA	second	NA	26	NA	NA	NA	NA
